place_fips,place_name,full_fips,county_name,% difference
1304140,Auburn city,13013,Barrow County,98.50
4025400,Fanshawe town,40079,Le Flore County,98.50
3149285,Trumbull village,31035,Clay County,98.49
4866908,Seven Points city,48213,Henderson County,98.47
2940916,Laurie city,29141,Morgan County,98.46
1956910,Nora Springs city,19067,Floyd County,98.45
3758440,Rutherford College town,37023,Burke County,98.43
4830644,Grapevine city,48439,Tarrant County,98.42
3988000,Youngstown city,39099,Mahoning County,98.41
4845804,McLendon-Chisholm city,48397,Rockwall County,98.39
4574680,Ware Shoals town,45047,Greenwood County,98.34
2866280,Sebastopol town,28123,Scott County,98.34
2739878,Mankato city,27013,Blue Earth County,98.34
2948656,Miner city,29201,Scott County,98.33
3767420,Thomasville city,37057,Davidson County,98.32
1986070,Wilton city,19139,Muscatine County,98.25
4874924,Van Alstyne city,48181,Grayson County,98.23
2252040,Morgan City city,22101,St. Mary Parish,98.21
2767504,Wadena city,27159,Wadena County,98.19
4514050,Chesnee city,45083,Spartanburg County,98.18
3926348,Fairview village,39059,Guernsey County,98.17
2053450,Oswego city,20099,Labette County,98.17
4541740,Lincolnville town,45019,Charleston County,98.16
129992,Glencoe city,01055,Etowah County,98.16
533370,Horseshoe Bend city,05065,Izard County,98.16
4013600,Chattanooga town,40031,Comanche County,98.16
153400,Nauvoo town,01127,Walker County,98.15
4967770,Santaquin city,49049,Utah County,98.09
3720620,Elkin town,37171,Surry County,98.08
2971368,Sugar Creek city,29095,Jackson County,98.07
124184,Enterprise city,01031,Coffee County,98.06
4015400,Clinton city,40039,Custer County,98.05
2914068,Clark city,29175,Randolph County,98.03
2667900,Reese village,26157,Tuscola County,98.02
176680,Trafford town,01073,Jefferson County,97.96
2961238,Republic city,29077,Greene County,97.95
4778240,Watauga city,47019,Carter County,97.90
4849068,Mont Belvieu city,48071,Chambers County,97.89
5142424,Kilmarnock town,51103,Lancaster County,97.89
4958070,Park City city,49043,Summit County,97.86
4016350,Collinsville city,40143,Tulsa County,97.78
4863500,Round Rock city,48491,Williamson County,97.76
3918000,Columbus city,39049,Franklin County,97.76
4823272,Elmendorf city,48029,Bexar County,97.75
4816612,Coppell city,48113,Dallas County,97.75
3720580,Elizabeth City city,37139,Pasquotank County,97.69
2270000,Shreveport city,22017,Caddo Parish,97.66
1926940,Farnhamville city,19025,Calhoun County,97.65
4826232,Flower Mound town,48121,Denton County,97.65
1705248,Bensenville village,17043,DuPage County,97.52
2950402,Mountain Grove city,29229,Wright County,97.51
171832,Southside city,01055,Etowah County,97.51
2755438,Roosevelt city,27135,Roseau County,97.50
2941348,Lee's Summit city,29095,Jackson County,97.46
2638380,Hillman village,26119,Montmorency County,97.46
2761996,Spring Lake Park city,27003,Anoka County,97.43
1756640,Orland Park village,17031,Cook County,97.40
1723737,El Paso city,17203,Woodford County,97.39
1952950,Mitchellville city,19153,Polk County,97.37
2753296,Raymond city,27067,Kandiyohi County,97.36
5539300,Kewaskum village,55131,Washington County,97.32
2727530,Hastings city,27037,Dakota County,97.30
2682453,Village of Grosse Pointe Shores city,26163,Wayne County,97.26
3134230,Newman Grove city,31119,Madison County,97.26
3720980,Elm City town,37195,Wilson County,97.26
4850472,Navasota city,48185,Grimes County,97.23
3770540,Wake Forest town,37183,Wake County,97.22
5507600,Birnamwood village,55115,Shawano County,97.18
1766703,St. Charles city,17089,Kane County,97.16
3979114,Utica village,39089,Licking County,97.16
4862504,Roanoke city,48121,Denton County,97.15
1800802,Albany town,18035,Delaware County,97.14
2842640,Lumberton city,28073,Lamar County,97.12
3710740,Cary town,37183,Wake County,97.11
4880356,Wylie city,48085,Collin County,97.10
2945866,Marceline city,29115,Linn County,97.07
1981705,Walcott city,19163,Scott County,97.04
2065650,Simpson city,20123,Mitchell County,97.03
2971062,Strafford city,29077,Greene County,97.02
4065400,Sapulpa city,40037,Creek County,96.95
1349532,Manchester city,13199,Meriwether County,96.91
1304252,Austell city,13067,Cobb County,96.90
3969834,Salem city,39029,Columbiana County,96.90
1711618,Casey city,17023,Clark County,96.89
2154480,Muldraugh city,21163,Meade County,96.86
5511200,Burlington city,55101,Racine County,96.86
1703207,Avon village,17057,Fulton County,96.86
2929494,Greenwood city,29095,Jackson County,96.81
4858820,Port Arthur city,48245,Jefferson County,96.79
179008,Vincent town,01117,Shelby County,96.79
3962498,Pickerington city,39045,Fairfield County,96.78
3764420,Stallings town,37179,Union County,96.72
521610,Emmet city,05099,Nevada County,96.71
4736460,Humboldt city,47053,Gibson County,96.71
4873592,Trenton city,48147,Fannin County,96.69
3976106,Tallmadge city,39153,Summit County,96.68
107000,Birmingham city,01073,Jefferson County,96.67
4032250,Hammon town,40129,Roger Mills County,96.66
102320,Argo town,01115,St. Clair County,96.61
527310,Glenwood city,05109,Pike County,96.59
