"","EPISODE_ID","EVENT_ID","BEGIN_YEARMONTH","BEGIN_DAY","END_YEARMONTH","END_DAY","STATE","STATE_FIPS","EVENT_TYPE","CZ_TYPE","CZ_FIPS","CZ_NAME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","FLOOD_CAUSE"
"646",1183165,5431970,200412,10,200412,10,"KENTUCKY",21,"Hail","C",125,"LAUREL",0,0,0,0,"0K","0K",NA
"647",1183362,5432227,200412,13,200412,15,"HAWAII",15,"High Surf","Z",26,"KOHALA",0,0,0,0,"","",NA
"648",1183385,5432326,200401,14,200401,14,"HAWAII",15,"High Wind","Z",7,"WEST HAWAII",0,0,0,0,"","",NA
"649",1183386,5432327,200401,14,200401,15,"HAWAII",15,"High Wind","Z",3,"MAUI",0,0,0,0,"","",NA
"650",1183387,5432328,200401,15,200401,16,"HAWAII",15,"High Surf","Z",1,"KAUAI",0,0,0,0,"","",NA
"651",1183387,5432329,200401,15,200401,16,"HAWAII",15,"High Surf","Z",6,"LANAI",0,0,0,0,"","",NA
"652",1183387,5432330,200401,15,200401,16,"HAWAII",15,"High Surf","Z",3,"MAUI",0,0,0,0,"","",NA
"653",1165342,5381191,200401,30,200401,31,"NORTH DAKOTA",38,"Winter Storm","Z",3,"RENVILLE",0,0,0,0,"","",NA
"654",1165346,5381203,200401,8,200401,8,"ALASKA",2,"Blizzard","Z",212,"ERN NORTON SOUND NULATO HILLS",0,0,0,0,"","",NA
"655",1164928,5381005,200401,25,200401,25,"ILLINOIS",17,"Ice Storm","Z",77,"EDWARDS",0,0,0,0,"","",NA
"656",1183362,5432231,200412,13,200412,15,"HAWAII",15,"High Surf","Z",19,"MAUI CENTRAL VALLEY",0,0,0,0,"","",NA
"657",1165356,5381447,200402,4,200402,4,"ALASKA",2,"Blizzard","Z",214,"YUKON DELTA",0,0,0,0,"","",NA
"658",1165356,5381448,200402,4,200402,4,"ALASKA",2,"High Wind","Z",214,"YUKON DELTA",0,0,0,0,"","",NA
"659",1165341,5381176,200401,27,200401,28,"NORTH DAKOTA",38,"Cold/Wind Chill","Z",13,"PIERCE",0,0,0,0,"","",NA
"660",1165433,5381324,200401,25,200401,25,"TENNESSEE",47,"Ice Storm","Z",18,"JOHNSON",0,0,0,0,"","",NA
"661",1165434,5381436,200401,7,200401,8,"MICHIGAN",26,"Winter Storm","Z",7,"LUCE",0,0,0,0,"","",NA
"662",1165434,5381326,200401,6,200401,7,"MICHIGAN",26,"Blizzard","Z",3,"NORTHERN HOUGHTON",0,0,0,0,"","",NA
"663",1164945,5381274,200401,27,200401,27,"ILLINOIS",17,"Winter Weather","Z",76,"WAYNE",0,0,0,0,"","",NA
"664",1164945,5381275,200401,27,200401,27,"ILLINOIS",17,"Winter Weather","Z",83,"WHITE",0,0,0,0,"","",NA
"665",1164945,5381276,200401,27,200401,27,"ILLINOIS",17,"Winter Weather","Z",85,"WILLIAMSON",0,0,0,0,"","",NA
"666",1164946,5381277,200401,29,200401,29,"INDIANA",18,"Winter Weather","Z",81,"GIBSON",0,0,0,0,"","",NA
"667",1164946,5381278,200401,29,200401,29,"INDIANA",18,"Winter Weather","Z",82,"PIKE",0,0,0,0,"","",NA
"668",1164946,5381279,200401,29,200401,29,"INDIANA",18,"Winter Weather","Z",85,"POSEY",0,0,0,0,"","",NA
"669",1164946,5381280,200401,29,200401,29,"INDIANA",18,"Winter Weather","Z",88,"SPENCER",0,0,0,0,"","",NA
"670",1164946,5381281,200401,29,200401,29,"INDIANA",18,"Winter Weather","Z",86,"VANDERBURGH",0,0,0,0,"","",NA
"671",1164946,5381282,200401,29,200401,29,"INDIANA",18,"Winter Weather","Z",87,"WARRICK",0,0,0,0,"","",NA
"672",1164947,5381283,200401,29,200401,29,"ILLINOIS",17,"Winter Weather","Z",77,"EDWARDS",0,0,0,0,"","",NA
"673",1165358,5381458,200402,8,200402,9,"ALASKA",2,"Cold/Wind Chill","Z",201,"WESTERN ARCTIC COAST",0,0,0,0,"","",NA
"674",1165359,5381459,200402,9,200402,10,"ALASKA",2,"Blizzard","Z",202,"NORTHERN ARCTIC COAST",0,0,0,0,"","",NA
"675",1165210,5381423,200401,25,200401,26,"KANSAS",20,"Winter Storm","Z",37,"MORRIS",0,0,0,0,"","",NA
"676",1165461,5381366,200401,27,200401,27,"NEBRASKA",31,"Cold/Wind Chill","Z",12,"CEDAR",0,0,0,0,"","",NA
"677",1165461,5381478,200401,27,200401,27,"NEBRASKA",31,"Cold/Wind Chill","Z",53,"SARPY",0,0,0,0,"","",NA
"678",1165359,5381464,200402,9,200402,12,"ALASKA",2,"Blizzard","Z",201,"WESTERN ARCTIC COAST",0,0,0,0,"","",NA
"679",1183513,5431499,200412,1,200412,3,"CALIFORNIA",6,"Frost/Freeze","Z",43,"X W SAN DIEGO",0,0,0,0,"","",NA
"680",1183513,5431500,200412,1,200412,3,"CALIFORNIA",6,"Frost/Freeze","Z",50,"X W SAN DIEGO VALLEY",0,0,0,0,"","",NA
"681",1183514,5431501,200412,9,200412,14,"CALIFORNIA",6,"Dense Fog","Z",49,"W RIVERSIDE T X NW",0,0,0,0,"","",NA
"682",1183514,5431502,200412,9,200412,14,"CALIFORNIA",6,"Dense Fog","Z",42,"W/S ORANGE",0,0,0,0,"","",NA
"683",1183514,5431503,200412,9,200412,14,"CALIFORNIA",6,"Dense Fog","Z",48,"X SW SAN BERNARDINO",0,0,0,0,"","",NA
"684",1183514,5431504,200412,9,200412,14,"CALIFORNIA",6,"Dense Fog","Z",43,"X W SAN DIEGO",0,0,0,0,"","",NA
"685",1183225,5431174,200402,27,200402,29,"HAWAII",15,"High Surf","Z",2,"OAHU",0,0,1,0,"","",NA
"686",1183208,5430933,200412,19,200412,20,"GEORGIA",13,"Winter Weather","Z",7,"GILMER",0,0,0,0,"","",NA
"687",1183037,5431150,200412,20,200412,20,"MONTANA",30,"High Wind","Z",62,"EASTERN ROOSEVELT",0,0,0,0,"","",NA
"688",1183470,5431293,200412,22,200412,22,"ARKANSAS",5,"Winter Storm","Z",33,"WHITE",0,0,0,0,"","",NA
"689",1183470,5431294,200412,22,200412,22,"ARKANSAS",5,"Winter Storm","Z",34,"WOODRUFF",0,0,0,0,"","",NA
"690",1165283,5380447,200401,4,200401,5,"OHIO",39,"Flood","Z",40,"CARROLL",0,0,0,0,"","",NA
"691",1165284,5380448,200401,4,200401,5,"OHIO",39,"Flood","Z",48,"COSHOCTON",0,0,0,0,"","",NA
"692",1165430,5380466,200401,9,200401,9,"TENNESSEE",47,"Winter Storm","Z",85,"MCMINN",0,0,0,0,"","",NA
"693",1165430,5380467,200401,9,200401,9,"TENNESSEE",47,"Winter Storm","Z",99,"HAMILTON",0,0,0,0,"","",NA
"694",1165430,5380468,200401,9,200401,9,"TENNESSEE",47,"Winter Storm","Z",100,"BRADLEY",0,0,0,0,"","",NA
"695",1165430,5380469,200401,9,200401,9,"TENNESSEE",47,"Winter Storm","Z",101,"WEST POLK",0,0,0,0,"","",NA
"696",1165290,5380543,200401,4,200401,5,"PENNSYLVANIA",42,"Flood","Z",20,"BEAVER",0,0,0,0,"","",NA
"697",1165439,5380559,200401,24,200401,26,"MINNESOTA",27,"Winter Storm","Z",45,"KANABEC",0,0,0,0,"","",NA
"698",1165439,5380587,200401,24,200401,26,"MINNESOTA",27,"Winter Storm","Z",84,"WASECA",0,0,0,0,"","",NA
"699",1165439,5380588,200401,24,200401,26,"MINNESOTA",27,"Winter Storm","Z",85,"STEELE",0,0,0,0,"","",NA
"700",1165313,5380793,200401,27,200401,28,"PENNSYLVANIA",42,"Heavy Snow","Z",15,"CLARION",0,0,0,0,"","",NA
"701",1165313,5380794,200401,27,200401,28,"PENNSYLVANIA",42,"Heavy Snow","Z",32,"FAYETTE",0,0,0,0,"","",NA
"702",1164906,5380912,200401,25,200401,26,"WEST VIRGINIA",54,"Winter Storm","Z",39,"UPSHUR",0,0,0,0,"","",NA
"703",1165443,5380826,200401,1,200401,1,"CALIFORNIA",6,"Heavy Snow","Z",81,"CENTRAL SISKIYOU COUNTY",0,0,0,0,"","",NA
"704",1165342,5381193,200401,30,200401,31,"NORTH DAKOTA",38,"Winter Storm","Z",9,"WILLIAMS",0,0,0,0,"","",NA
"705",1165344,5381194,200401,3,200401,3,"ALASKA",2,"High Wind","Z",201,"WESTERN ARCTIC COAST",0,0,0,0,"","",NA
"706",1165345,5381195,200401,5,200401,5,"ALASKA",2,"Blizzard","Z",203,"CENTRAL BEAUFORT SEA COAST",0,0,0,0,"","",NA
"707",1165345,5381196,200401,5,200401,6,"ALASKA",2,"Blizzard","Z",204,"EASTERN BEAUFORT SEA COAST",0,0,0,0,"","",NA
"708",1165340,5381069,200401,24,200401,25,"NORTH DAKOTA",38,"Winter Storm","Z",45,"SIOUX",0,0,0,0,"","",NA
