"state_name","n_places_incounty","state_cy","state_cc","state_propCC","state_dvp","state_rvp","state_pop","state_medage","state_medgrossrent","state_medhhic","state_percHispanic","state_percOther","state_percWhite","state_percBlack","state_fips"
"Delaware",27,0,0,0,54.4,45.6,881278,39.1666666666667,921.666666666667,110546.333333333,7.14675737052689,2.95280163433996,72.5046548365174,19.7426680975684,"10"
"District of Columbia",1,0,0,0,92.59,7.41,584400,34.3,1063,257317,8.7784052019165,3.81759069130732,38.0518480492813,52.8829568788501,"11"
"Hawaii",55,0,0,0,77.9,22.1,1333591,44,1019.8,88453.4,7.68847968579464,39.0456227012475,31.7512268316879,0.778439428156292,"15"
"Idaho",3,0,0,0,27.55,72.45,1526797,38,601.954545454545,12960.9772727273,11.1915582215745,2.41296184814732,92.4621488977377,0.316746979502688,"16"
"Indiana",5,0,0,0,38.03,61.97,6417398,38.6945652173913,624.608695652174,26797.847826087,3.19384969257434,0.956607653840332,94.0314116284481,2.49528627650173,"18"
"Iowa",8,0,0,0,47.82,52.18,3016267,41.5080808080808,532.656565656566,12282.3636363636,3.39795521192189,1.13663467277193,95.519440423359,1.02159168703565,"19"
"Kansas",12,0,0,0,25.81,74.19,2809329,41.2714285714286,529.838095238095,10492.1142857143,7.7889154692244,1.69650467820344,92.5026029623931,1.80921374803591,"20"
"Louisiana",9,0,0,0,37.71,62.29,4429940,36.8390625,598.125,25643.203125,2.6660095837221,1.45809703850226,64.7519006005897,31.8486079694675,"22"
"Maine",21,0,0,0,56.11,43.89,1327665,43.2625,658.375,34445.3125,1.1283323188048,1.36918012638936,96.1919250877415,0.653974326082152,"23"
"Maryland",44,0,0,0,49.62,50.38,5696423,39.3041666666667,970.541666666667,88376.9583333333,4.56823033428986,3.17400551417056,73.4467812354341,19.6633891931279,"24"
"Mississippi",10,0,0,0,46.32,53.68,2941991,36.6963414634146,565.085365853659,13183.5609756098,1.74552673939493,0.982728282856626,56.8913597230322,40.780224704919,"28"
"New Mexico",30,0,0,0,49.98,50.02,2013122,39.930303030303,596.212121212121,22912.4848484848,44.408678911297,8.65583621100791,73.7989370393003,1.35038898984546,"35"
"North Dakota",7,0,0,0,36.46,63.54,659858,44.3,442.811320754717,5219.66037735849,1.49008802365482,6.95786608072723,91.2290856932966,0.347575393840045,"38"
"Rhode Island",3,0,0,0,61.6,38.4,1056389,40.9,939.2,82061,5.84207303670048,2.57850254188414,89.9957899879267,3.12971905544677,"44"
"Vermont",18,0,0,0,66.4,33.6,624258,42.2,761.285714285714,18329.4285714286,1.33102839832824,1.08722023465913,96.2866527500006,0.684540721021778,"50"
"Wyoming",6,0,0,0,24.78,75.22,545579,39.904347826087,652.565217391304,9464.69565217391,7.32601028530513,2.35548811825893,93.301055885446,0.409639785021411,"56"
