"","place_name","state_name","c"
"272","Oshkosh city","Wisconsin",7
"273","Pacifica city","California",470
"274","Page city","Arizona",2
"275","Park Hills city","Missouri",1
"276","Pasadena city","California",2
"277","Paterson city","New Jersey",8
"278","Payson city","Utah",3
"279","Pennington County","South Dakota",2
"280","Perry city","Utah",1
"281","Pharr city","Texas",1
"282","Phoenix city","Arizona",12
"283","Pickens County","Georgia",2
"284","Pitt County","North Carolina",1
"285","Pittsylvania County","Virginia",1
"286","Platteville city","Wisconsin",2
"287","Plattsburgh city","New York",7
"288","Poquoson city","Virginia",4
"289","Port Angeles city","Washington",10
"290","Port Jervis city","New York",2
"291","Portage village","Ohio",1
"292","Portland city","Oregon",38
"293","Portsmouth city","Virginia",18
"294","Post Falls city","Idaho",2
"295","Potter County","Texas",1
"296","Princeton city","Texas",1
"297","Quincy city","Massachusetts",6
"298","Rancho Mirage city","California",1
"299","Reno city","Nevada",20
"300","Renton city","Washington",4
"301","Ripon city","California",2
"302","Riverbank city","California",22
"303","Riverton city","Wyoming",1
"304","Riviera Beach city","Florida",6
"305","Rochester city","New York",4
"306","Romulus city","Michigan",1
"307","Roseville city","California",36
"308","Roswell city","New Mexico",2
"309","Roy city","Utah",4
"310","Rye city","New York",10
"311","Saginaw city","Michigan",1
"312","Sahuarita town","Arizona",4
"313","Salem city","Oregon",152
"314","Saline city","Michigan",1
"315","San Anselmo town","California",18
"316","San Bruno city","California",41
"317","San Mateo city","California",18
"318","Santa Monica city","California",92
"319","Santa Rosa city","California",50
"320","Schertz city","Texas",2
"321","Scottsboro city","Alabama",7
"322","Seaside city","California",6
"323","Sedro-Woolley city","Washington",2
"324","Selma city","California",3
"325","Sioux Falls city","South Dakota",48
"326","Smithfield town","North Carolina",1
"327","Snoqualmie city","Washington",14
"328","South Fulton city","Tennessee",6
"329","Southfield city","Michigan",2
"330","Springfield city","Illinois",7
"331","St. Charles County","Missouri",4
"332","St. Clair County","Michigan",2
"333","St. Louis Park city","Minnesota",17
"334","St. Louis city","Missouri",28
"335","Stillwater city","Oklahoma",7
"336","Stow city","Ohio",1
"337","Summit city","New Jersey",10
"338","Sunset Beach town","North Carolina",58
"339","Surf City town","North Carolina",4
"340","Susanville city","California",2
"341","Tamworth town","New Hampshire",1
"342","Taos County","New Mexico",10
"343","Tehachapi city","California",1
"344","Temecula city","California",14
"345","Temple City city","California",5
"346","Temple Terrace city","Florida",2
"347","Thornton city","Colorado",30
"348","Titusville city","Florida",12
"349","Trinidad city","Colorado",2
"350","Tuckahoe village","New York",5
"351","Tucson city","Arizona",19
"352","University Heights city","Ohio",4
"353","Warrensburg city","Missouri",3
"354","Washington County","Arkansas",1
"355","Washington County","Tennessee",1
"356","Washington city","Utah",2
"357","Waterloo city","Iowa",13
"358","Watsonville city","California",25
"359","Waverly city","Iowa",4
"360","Webster town","New York",12
"361","West Covina city","California",7
"362","West Milford township","New Jersey",1
"363","West Orange township","New Jersey",16
"364","West Valley City city","Utah",2
"365","Westland city","Michigan",8
"366","Whatcom County","Washington",26
"367","Whately town","Massachusetts",8
"368","Whitefish city","Montana",18
"369","Whitehall city","Ohio",1
"370","Wiggins town","Colorado",1
"371","Williston town","Vermont",5
"372","Windsor town","Virginia",3
"373","Winona city","Minnesota",10
"374","Winooski city","Vermont",23
"375","Winston-Salem city","North Carolina",3
"376","Winthrop Town city","Massachusetts",44
"377","Wood County","Wisconsin",1
"378","Yamhill County","Oregon",2
"379","Yamhill city","Oregon",2
"380","Yuba City city","California",6
