origin_statefips,origin_countyfips,dest_statefips,dest_countyfips,dest_stateabbr,dest_countyname,n_returns,n_individuals,adj_grossincome
44,3,9,3,CT,Hartford County,27,37,1345
44,3,9,9,CT,New Haven County,23,27,1167
44,3,33,11,NH,Hillsborough County,22,34,2233
44,3,12,83,FL,Marion County,21,41,1213
44,3,36,61,NY,New York County,21,25,2500
44,3,12,9,FL,Brevard County,20,41,2241
44,3,12,15,FL,Charlotte County,20,38,1754
44,3,12,21,FL,Collier County,20,39,3960
44,3,12,103,FL,Pinellas County,20,33,1756
44,3,25,9,MA,Essex County,20,27,1082
44,5,44,5,RI,Newport County Non-migrants,32640,59149,3346341
44,5,44,7,RI,Providence County,280,415,16313
44,5,25,5,MA,Bristol County,257,406,16330
44,5,44,3,RI,Kent County,186,291,15234
44,5,44,9,RI,Washington County,183,303,13179
44,5,44,1,RI,Bristol County,143,231,12640
44,5,6,73,CA,San Diego County,89,224,7505
44,5,25,25,MA,Suffolk County,45,51,4996
44,5,25,17,MA,Middlesex County,44,54,3896
44,5,12,99,FL,Palm Beach County,43,66,6716
44,5,9,11,CT,New London County,36,65,2678
44,5,51,810,VA,Virginia Beach city,35,103,2914
44,5,57,5,FR,Foreign - APO/FPO ZIPs,34,105,4138
44,5,24,3,MD,Anne Arundel County,33,40,1318
44,5,25,21,MA,Norfolk County,33,53,5888
44,5,12,11,FL,Broward County,32,55,2814
44,5,51,59,VA,Fairfax County,30,100,3711
44,5,36,61,NY,New York County,29,36,5201
44,5,15,3,HI,Honolulu County,27,61,2554
44,5,12,31,FL,Duval County,25,57,2318
44,5,12,21,FL,Collier County,24,36,3366
44,5,25,23,MA,Plymouth County,24,47,2008
44,5,51,710,VA,Norfolk city,24,45,1911
44,5,6,37,CA,Los Angeles County,23,34,1437
44,5,11,1,DC,District of Columbia,20,24,1841
44,5,51,13,VA,Arlington County,20,30,1608
44,7,44,7,RI,Providence County Non-migrants,254258,467979,17435236
44,7,44,3,RI,Kent County,2762,4482,166798
44,7,25,5,MA,Bristol County,1094,1812,79928
44,7,44,9,RI,Washington County,744,1182,56879
44,7,25,27,MA,Worcester County,503,801,31423
44,7,25,21,MA,Norfolk County,477,731,47666
44,7,25,17,MA,Middlesex County,420,555,29373
44,7,44,1,RI,Bristol County,418,752,37356
44,7,25,25,MA,Suffolk County,371,516,23645
44,7,9,15,CT,Windham County,321,553,20340
44,7,44,5,RI,Newport County,283,424,22428
44,7,9,11,CT,New London County,154,256,8850
44,7,25,23,MA,Plymouth County,146,227,9719
44,7,36,61,NY,New York County,135,163,9704
44,7,9,3,CT,Hartford County,122,177,8812
44,7,6,37,CA,Los Angeles County,114,136,5929
44,7,12,57,FL,Hillsborough County,104,186,5118
44,7,36,47,NY,Kings County,102,128,5398
44,7,12,95,FL,Orange County,99,184,4147
44,7,25,1,MA,Barnstable County,97,138,9301
